RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,# OF BIRDIES,TOTAL ROUNDS
1,0,52955,Ludvig Åberg,4.76,238,50
2,0,35450,Patrick Cantlay,4.50,324,72
3,0,46970,Jon Rahm,4.49,319,71
4,0,46717,Viktor Hovland,4.41,388,88
4,0,46046,Scottie Scheffler,4.41,388,88
6,0,47591,Eric Cole,4.40,554,126
7,0,58696,Peter Kuest,4.39,202,46
8,0,55789,Taylor Montgomery,4.37,446,102
9,0,39977,Max Homa,4.34,373,86
9,0,57366,Cameron Young,4.34,373,86
11,0,28237,Rory McIlroy,4.30,275,64
12,0,24502,Adam Scott,4.29,292,68
13,0,56630,Akshay Bhatia,4.25,357,84
14,0,55182,Tom Kim,4.22,380,90
15,0,31577,Tano Goya,4.21,379,90
15,0,50525,Collin Morikawa,4.21,341,81
15,0,48081,Xander Schauffele,4.21,341,81
15,0,51634,Sahith Theegala,4.21,446,106
15,0,45242,Kevin Yu,4.21,299,71
20,0,37275,Sam Ryder,4.20,466,111
21,0,33141,Keegan Bradley,4.17,342,82
21,0,52453,Nicolai Hojgaard,4.17,192,46
21,0,50493,Justin Suh,4.17,475,114
24,0,32102,Rickie Fowler,4.16,399,96
25,0,29725,Tony Finau,4.15,349,84
26,0,39971,Sungjae Im,4.13,429,104
27,0,51766,Wyndham Clark,4.11,419,102
27,0,35532,Tom Hoge,4.11,427,104
29,0,34563,Chesson Hadley,4.09,384,94
30,0,40006,Erik van Rooyen,4.08,318,78
31,0,57975,Harry Hall,4.07,415,102
32,0,34363,Tyrrell Hatton,4.06,317,78
32,0,36799,Stephan Jaeger,4.06,495,122
32,0,28775,Nate Lashley,4.06,434,107
35,0,56762,Will Gordon,4.05,450,111
35,0,30927,Brendon Todd,4.05,421,104
37,0,25900,Lucas Glover,4.04,404,100
37,0,54591,Ben Griffin,4.04,481,119
39,0,39067,MJ Daffue,4.03,415,103
39,0,28089,Jason Day,4.03,322,80
39,0,54783,Dylan Wu,4.03,427,106
42,0,33653,Thomas Detry,4.02,398,99
42,0,55454,Carl Yuan,4.02,338,84
44,0,33413,Ben Martin,4.01,413,103
44,0,22405,Justin Rose,4.01,273,68
46,0,51070,Vincent Norrman,4.00,340,85
46,0,25493,Nick Taylor,4.00,372,93
46,0,33448,Justin Thomas,4.00,288,72
49,0,32757,Patton Kizzire,3.99,399,100
49,0,25818,Scott Piercy,3.99,395,99
49,0,48867,Matti Schmid,3.99,315,79
52,0,33948,Byeong Hun An,3.98,418,105
52,0,34098,Russell Henley,3.98,334,84
52,0,40162,Justin Lower,3.98,434,109
52,0,52374,Brandon Wu,3.98,458,115
56,0,45157,Cam Davis,3.97,361,91
56,0,32816,Satoshi Kodaira,3.97,250,63
56,0,49771,J.T. Poston,3.97,397,100
56,0,35617,Martin Trainer,3.97,250,63
60,0,39997,Corey Conners,3.95,340,86
60,0,30911,Tommy Fleetwood,3.95,292,74
60,0,23320,Ryan Palmer,3.95,312,79
63,0,59018,Ryan Gerard,3.94,244,62
63,0,54421,Garrick Higgo,3.94,406,103
63,0,50095,Austin Smotherman,3.94,394,100
63,0,40115,Adam Svensson,3.94,481,122
67,0,47988,Nick Hardy,3.93,464,118
67,0,27129,Luke List,3.93,393,100
69,0,37338,Zecheng Dou,3.92,380,97
70,0,31646,Emiliano Grillo,3.91,442,113
71,0,48084,Wesley Bryan,3.90,187,48
71,0,47995,Davis Riley,3.90,398,102
71,0,58168,Davis Thompson,3.90,374,96
74,0,34255,Joseph Bramlett,3.89,311,80
74,0,33399,Adam Hadwin,3.89,342,88
74,0,27554,Scott Harrington,3.89,311,80
74,0,35461,Beau Hossler,3.89,428,110
74,0,47983,Chad Ramey,3.89,393,101
79,0,27644,Brian Harman,3.88,361,93
79,0,29289,S.Y. Noh,3.88,264,68
79,0,49960,Sepp Straka,3.88,357,92
82,0,51414,Brent Grant,3.87,325,84
82,0,39058,Lucas Herbert,3.87,240,62
82,0,47993,Denny McCarthy,3.87,387,100
82,0,39546,Keith Mitchell,3.87,364,94
82,0,39335,Kevin Roy,3.87,294,76
87,0,47504,Sam Burns,3.86,313,81
88,0,23108,Matt Kuchar,3.85,350,91
88,0,28252,Seamus Power,3.85,316,82
88,0,46414,Aaron Rai,3.85,404,105
91,0,36801,Mark Hubbard,3.84,446,116
91,0,50188,S.H. Kim,3.84,426,111
91,0,32839,Hideki Matsuyama,3.84,334,87
91,0,39324,J.J. Spaun,3.84,392,102
95,0,52372,Cameron Champ,3.83,299,78
95,0,33597,Harry Higgs,3.83,322,84
95,0,26596,Ryan Moore,3.83,318,83
98,0,45609,Tyler Duncan,3.82,359,94
99,0,52375,Doug Ghim,3.81,354,93
99,0,39954,Cody Gribble,3.81,267,70
99,0,37455,Si Woo Kim,3.81,381,100
99,0,32791,K.H. Lee,3.81,408,107
99,0,24140,Sean O'Hair,3.81,198,52
99,0,34046,Jordan Spieth,3.81,274,72
105,0,52513,Carson Young,3.80,376,99
106,0,48699,Callum Tarren,3.79,375,99
107,0,49453,Trevor Cone,3.78,310,82
107,0,35506,Mackenzie Hughes,3.78,336,89
107,0,53165,Doc Redman,3.78,295,78
110,0,22371,Aaron Baddeley,3.76,301,80
110,0,57362,Austin Eckroat,3.76,368,98
110,0,27936,Martin Laird,3.76,331,88
110,0,34466,Peter Malnati,3.76,357,95
110,0,32640,Troy Merritt,3.76,346,92
115,0,40250,Taylor Pendrith,3.75,371,99
115,0,51890,Greyson Sigg,3.75,394,105
115,0,47128,Richy Werenski,3.75,371,99
118,0,20229,Stewart Cink,3.74,299,80
118,0,40098,Matt Fitzpatrick,3.74,273,73
118,0,30926,Chris Kirk,3.74,344,92
121,0,36326,David Lipsky,3.73,384,103
121,0,34256,Andrew Putnam,3.73,414,111
121,0,46340,Alex Smalley,3.73,418,112
124,0,40058,Zac Blair,3.72,290,78
124,0,46441,Robby Shelton,3.72,387,104
126,0,36699,Patrick Rodgers,3.71,378,102
127,0,29535,Brice Garnett,3.69,317,86
127,0,35449,Adam Long,3.69,417,113
127,0,51997,Andrew Novak,3.69,351,95
130,0,25686,Jason Dufner,3.68,335,91
130,0,12716,Charley Hoffman,3.68,298,81
130,0,47347,Adam Schenk,3.68,438,119
130,0,55893,Sam Stevens,3.68,390,106
134,0,47079,Harrison Endycott,3.67,327,89
134,0,35879,Kelly Kraft,3.67,330,90
134,0,29908,C.T. Pan,3.67,198,54
134,0,31323,Gary Woodland,3.67,305,83
138,0,46435,Austin Cook,3.66,311,85
139,0,49947,Taylor Moore,3.65,369,101
140,0,27349,Alex Noren,3.64,335,92
141,0,27974,Sung Kang,3.63,178,49
142,0,46442,Maverick McNealy,3.62,228,63
143,0,33408,Tyson Alexander,3.61,343,95
143,0,48117,Kurt Kitayama,3.61,260,72
143,0,36871,Matt NeSmith,3.61,357,99
143,0,52411,Kyle Westmoreland,3.61,285,79
147,0,32366,Kevin Chappell,3.59,201,56
147,0,39975,Michael Kim,3.59,348,97
149,0,34076,Joel Dahmen,3.58,329,92
149,0,32448,James Hahn,3.58,286,80
149,0,48119,Ben Taylor,3.58,380,106
152,0,31202,William McGirt,3.57,189,53
153,0,25632,Jimmy Walker,3.56,306,86
154,0,34099,Harris English,3.55,344,97
154,0,29420,Billy Horschel,3.55,227,64
154,0,46601,Trey Mullinax,3.55,252,71
157,0,33122,Russell Knox,3.54,403,114
157,0,48887,Matt Wallace,3.54,297,84
159,0,27963,Chris Stroud,3.53,201,57
160,0,45522,Christiaan Bezuidenhout,3.52,313,89
161,0,34409,David Lingmerth,3.51,309,88
161,0,36724,Augusto Núñez,3.51,298,85
163,0,19803,Ryan Armour,3.50,322,92
164,0,55708,Hayden Buckley,3.49,293,84
164,0,29221,Webb Simpson,3.49,199,57
166,0,33204,Shane Lowry,3.48,216,62
167,0,26476,Chez Reavie,3.47,333,96
168,0,51491,Brandon Matthews,3.46,204,59
168,0,30163,Henrik Norlander,3.46,315,91
170,0,49298,Kramer Hickok,3.45,335,97
171,0,24925,Jonathan Byrd,3.43,206,60
171,0,27214,Kevin Streelman,3.43,329,96
173,0,35310,Lanto Griffin,3.42,195,57
173,0,35901,Paul Haley II,3.42,315,92
173,0,34431,Robert Streb,3.42,277,81
176,0,51349,Nico Echavarria,3.41,266,78
176,0,31560,Brian Stuard,3.41,249,73
178,0,28420,Ryan Brehm,3.40,292,86
178,0,22056,Cameron Percy,3.40,228,67
178,0,32333,Kevin Tway,3.40,343,101
181,0,30692,Scott Stallings,3.39,285,84
182,0,54628,Lee Hodges,3.38,362,107
183,0,29970,Dylan Frittelli,3.37,263,78
184,0,34610,Matthias Schwab,3.36,346,103
185,0,33410,Andrew Landry,3.35,268,80
185,0,58967,Trevor Werbylo,3.35,278,83
187,0,51950,Max McGreevy,3.34,307,92
188,0,31557,Jim Herman,3.29,253,77
189,0,49766,Hank Lebioda,3.26,199,61
190,0,27095,Nick Watney,3.25,247,76
191,0,24024,Zach Johnson,3.16,215,68
191,0,32139,Danny Willett,3.16,212,67
193,0,32662,Michael Gligic,3.11,227,73