RANK,MOVEMENT,PLAYER_ID,PLAYER,% MAKES BOGEY,BOGEYS,HOLES PLAYED
1,0,48081,Xander Schauffele,9.44%,141,1494
2,0,46046,Scottie Scheffler,9.85%,133,1350
3,0,54576,Patrick Fishburn,12.02%,158,1314
4,0,34021,Bud Cauley,12.04%,117,972
4,0,30163,Henrik Norlander,12.04%,143,1188
6,0,52375,Doug Ghim,12.12%,205,1692
7,0,46414,Aaron Rai,12.23%,196,1602
8,0,51890,Greyson Sigg,12.29%,177,1440
9,0,27349,Alex Noren,12.33%,162,1314
10,0,51997,Andrew Novak,12.47%,193,1548
11,0,39327,Ben Silverman,12.55%,183,1458
12,0,30911,Tommy Fleetwood,12.60%,161,1278
13,0,54591,Ben Griffin,12.64%,264,2088
14,0,34587,Chan Kim,12.90%,195,1512
15,0,34256,Andrew Putnam,12.92%,193,1494
16,0,59143,Mac Meissner,12.96%,175,1350
17,0,50095,Austin Smotherman,13.00%,124,954
18,0,46442,Maverick McNealy,13.04%,223,1710
19,0,50525,Collin Morikawa,13.08%,186,1422
20,0,35461,Beau Hossler,13.11%,210,1602
21,0,34098,Russell Henley,13.17%,173,1314
22,0,32839,Hideki Matsuyama,13.29%,177,1332
23,0,52955,Ludvig Åberg,13.41%,181,1350
24,0,45242,Kevin Yu,13.42%,186,1386
25,0,28252,Seamus Power,13.48%,233,1728
26,0,28775,Nate Lashley,13.49%,187,1386
27,0,55893,Sam Stevens,13.62%,250,1836
28,0,48117,Kurt Kitayama,13.64%,194,1422
29,0,52215,Robert MacIntyre,13.70%,185,1350
29,0,32333,Kevin Tway,13.70%,148,1080
31,0,29420,Billy Horschel,13.71%,195,1422
32,0,51977,Max Greyserman,13.72%,200,1458
33,0,51894,Vince Whaley,13.74%,188,1368
34,0,60004,Jacob Bridgeman,13.75%,203,1476
35,0,28237,Rory McIlroy,13.77%,171,1242
36,0,36699,Patrick Rodgers,13.78%,248,1800
37,0,47679,Victor Perez,13.81%,179,1296
38,0,58168,Davis Thompson,13.83%,234,1692
39,0,39971,Sungjae Im,13.86%,227,1638
40,0,32757,Patton Kizzire,13.93%,163,1170
41,0,51287,Ryo Hisatsune,14.02%,222,1584
42,0,45522,Christiaan Bezuidenhout,14.03%,202,1440
42,0,29908,C.T. Pan,14.03%,149,1062
44,0,35506,Mackenzie Hughes,14.04%,240,1710
45,0,51696,Rico Hoey,14.05%,220,1566
45,0,47993,Denny McCarthy,14.05%,220,1566
47,0,27064,Jhonattan Vegas,14.07%,190,1350
48,0,33448,Justin Thomas,14.08%,180,1278
49,0,39324,J.J. Spaun,14.17%,204,1440
50,0,54628,Lee Hodges,14.18%,240,1692
50,0,39975,Michael Kim,14.18%,217,1530
50,0,23108,Matt Kuchar,14.18%,194,1368
53,0,40058,Zac Blair,14.21%,220,1548
54,0,27936,Martin Laird,14.22%,192,1350
55,0,28089,Jason Day,14.23%,187,1314
56,0,37455,Si Woo Kim,14.25%,236,1656
56,0,39546,Keith Mitchell,14.25%,218,1530
58,0,26476,Chez Reavie,14.27%,185,1296
59,0,34255,Joseph Bramlett,14.30%,224,1566
59,0,57900,Chandler Phillips,14.30%,224,1566
61,0,40026,Daniel Berger,14.31%,206,1440
61,0,51349,Nico Echavarria,14.31%,237,1656
63,0,45609,Tyler Duncan,14.34%,191,1332
63,0,60067,Joe Highsmith,14.34%,191,1332
65,0,59442,Parker Coody,14.37%,150,1044
66,0,40006,Erik van Rooyen,14.39%,215,1494
67,0,22371,Aaron Baddeley,14.40%,197,1368
67,0,34099,Harris English,14.40%,241,1674
67,0,24502,Adam Scott,14.40%,184,1278
70,0,25900,Lucas Glover,14.46%,242,1674
71,0,40162,Justin Lower,14.52%,264,1818
72,0,29535,Brice Garnett,14.58%,126,864
73,0,57975,Harry Hall,14.59%,218,1494
74,0,27644,Brian Harman,14.62%,229,1566
74,0,36801,Mark Hubbard,14.62%,271,1854
76,0,27139,David Skinns,14.64%,224,1530
77,0,47504,Sam Burns,14.65%,203,1386
78,0,56630,Akshay Bhatia,14.67%,235,1602
78,0,34076,Joel Dahmen,14.67%,243,1656
80,0,35450,Patrick Cantlay,14.73%,183,1242
81,0,46340,Alex Smalley,14.74%,207,1404
81,0,50484,Hayden Springer,14.74%,199,1350
83,0,47988,Nick Hardy,14.81%,232,1566
84,0,29725,Tony Finau,14.86%,222,1494
85,0,51766,Wyndham Clark,14.87%,190,1278
86,0,52513,Carson Young,14.88%,241,1620
87,0,48084,Wesley Bryan,14.89%,134,900
88,0,49771,J.T. Poston,14.92%,239,1602
89,0,51634,Sahith Theegala,14.93%,250,1674
90,0,39997,Corey Conners,14.94%,234,1566
91,0,40115,Adam Svensson,14.95%,288,1926
92,0,32791,K.H. Lee,14.97%,221,1476
93,0,36871,Matt NeSmith,14.99%,205,1368
94,0,26596,Ryan Moore,15.04%,203,1350
95,0,48887,Matt Wallace,15.09%,182,1206
96,0,40250,Taylor Pendrith,15.12%,215,1422
97,0,49960,Sepp Straka,15.15%,210,1386
98,0,35310,Lanto Griffin,15.20%,208,1368
99,0,34563,Chesson Hadley,15.24%,192,1260
99,0,47483,Will Zalatoris,15.24%,192,1260
101,0,49947,Taylor Moore,15.26%,272,1782
102,0,24024,Zach Johnson,15.28%,143,936
103,0,48867,Matti Schmid,15.29%,223,1458
104,0,33486,Roger Sloan,15.30%,190,1242
105,0,35532,Tom Hoge,15.34%,290,1890
106,0,22405,Justin Rose,15.39%,169,1098
107,0,40098,Matt Fitzpatrick,15.41%,197,1278
108,0,54783,Dylan Wu,15.46%,231,1494
109,0,59095,Chris Gotterup,15.47%,206,1332
110,0,52374,Brandon Wu,15.54%,235,1512
111,0,47983,Chad Ramey,15.57%,241,1548
112,0,32366,Kevin Chappell,15.58%,157,1008
113,0,27214,Kevin Streelman,15.59%,202,1296
114,0,57362,Austin Eckroat,15.60%,264,1692
114,0,33204,Shane Lowry,15.60%,205,1314
116,0,47591,Eric Cole,15.67%,313,1998
117,0,31646,Emiliano Grillo,15.69%,240,1530
118,0,32367,Jorge Campillo,15.71%,147,936
119,0,54421,Garrick Higgo,15.72%,232,1476
120,0,39977,Max Homa,15.75%,224,1422
121,0,30927,Brendon Todd,15.77%,281,1782
122,0,59836,Pierceson Coody,15.78%,230,1458
123,0,46717,Viktor Hovland,15.79%,162,1026
124,0,52372,Cameron Champ,15.83%,171,1080
124,0,12716,Charley Hoffman,15.83%,208,1314
126,0,30926,Chris Kirk,15.84%,231,1458
127,0,33948,Byeong Hun An,15.85%,214,1350
128,0,27129,Luke List,15.95%,221,1386
129,0,52514,Trace Crowe,15.96%,204,1278
130,0,36326,David Lipsky,15.97%,207,1296
131,0,36884,Ben Kohles,16.04%,257,1602
132,0,36799,Stephan Jaeger,16.06%,240,1494
133,0,48153,Matthieu Pavon,16.09%,194,1206
134,0,33141,Keegan Bradley,16.10%,229,1422
134,0,46441,Robby Shelton,16.10%,229,1422
136,0,25493,Nick Taylor,16.21%,251,1548
137,0,32640,Troy Merritt,16.31%,226,1386
138,0,46113,Ryan McCormick,16.32%,188,1152
139,0,55789,Taylor Montgomery,16.38%,171,1044
140,0,32102,Rickie Fowler,16.39%,236,1440
141,0,33653,Thomas Detry,16.43%,207,1260
142,0,55182,Tom Kim,16.46%,243,1476
143,0,47347,Adam Schenk,16.49%,282,1710
144,0,48319,Tom Whitney,16.51%,211,1278
145,0,37275,Sam Ryder,16.53%,235,1422
146,0,47663,Kevin Dougherty,16.58%,194,1170
147,0,37378,Min Woo Lee,16.59%,209,1260
148,0,29936,Ryan Fox,16.67%,234,1404
148,0,56149,Wilson Furr,16.67%,177,1062
150,0,55708,Hayden Buckley,16.74%,223,1332
150,0,57366,Cameron Young,16.74%,244,1458
152,0,50497,Adrien Dumont de Chassart,16.81%,233,1386
152,0,50493,Justin Suh,16.81%,233,1386
154,0,33399,Adam Hadwin,16.87%,252,1494
155,0,52666,Sami Valimaki,16.93%,192,1134
156,0,32070,Rafael Campos,16.94%,183,1080
157,0,47995,Davis Riley,17.11%,234,1368
158,0,29221,Webb Simpson,17.21%,158,918
159,0,45157,Cam Davis,17.22%,248,1440
160,0,50188,S.H. Kim,17.39%,338,1944
161,0,34046,Jordan Spieth,17.46%,220,1260
162,0,33968,Thorbjørn Olesen,17.59%,152,864
163,0,59866,Nick Dunlap,17.61%,225,1278
164,0,52453,Nicolai Højgaard,17.74%,182,1026
165,0,31323,Gary Woodland,17.78%,256,1440
166,0,33408,Tyson Alexander,17.81%,250,1404
167,0,34466,Peter Malnati,17.88%,251,1404
167,0,27330,Josh Teater,17.88%,177,990
169,0,55454,Carl Yuan,17.99%,217,1206
170,0,48119,Ben Taylor,18.03%,211,1170
171,0,23320,Ryan Palmer,18.27%,148,810
172,0,34374,Erik Barnes,18.49%,193,1044
173,0,47420,Jake Knapp,18.52%,260,1404
174,0,27649,Brandt Snedeker,18.58%,204,1098
175,0,35617,Martin Trainer,18.67%,168,900
176,0,48699,Callum Tarren,18.72%,246,1314
177,0,27770,Camilo Villegas,18.76%,206,1098
178,0,51070,Vincent Norrman,19.05%,168,882
179,0,29478,Kevin Kisner,19.30%,198,1026
180,0,60767,Blaine Hale Jr.,19.49%,193,990
181,0,47806,Raul Pereda,19.56%,176,900
182,0,28420,Ryan Brehm,19.58%,222,1134
183,0,38991,Alejandro Tosti,19.75%,256,1296
184,0,37212,Paul Barjon,19.98%,205,1026