RANK,MOVEMENT,PLAYER_ID,PLAYER,TOP 10,1ST,2ND,3RD
1,0,46046,Scottie Scheffler,17,6,1,2
2,0,54591,Ben Griffin,11,2,2,0
3,0,34098,Russell Henley,10,1,2,0
4,0,30911,Tommy Fleetwood,8,1,1,1
4,0,28237,Rory McIlroy,8,3,1,0
4,0,33448,Justin Thomas,8,1,3,0
4,0,57366,Cameron Young,8,1,0,0
8,0,39997,Corey Conners,7,0,0,1
8,0,46442,Maverick McNealy,7,0,1,3
8,0,39324,J.J. Spaun,7,1,3,1
11,0,52955,Ludvig Åberg,6,1,0,0
11,0,33141,Keegan Bradley,6,1,0,0
11,0,47504,Sam Burns,6,0,1,0
11,0,52215,Robert MacIntyre,6,0,2,0
11,0,49960,Sepp Straka,6,2,0,1
16,0,60004,Jacob Bridgeman,5,0,1,1
16,0,35450,Patrick Cantlay,5,0,1,0
16,0,40098,Matt Fitzpatrick,5,0,0,0
16,0,25900,Lucas Glover,5,0,0,2
16,0,57975,Harry Hall,5,0,0,0
16,0,51997,Andrew Novak,5,1,1,2
16,0,22405,Justin Rose,5,1,1,1
23,0,56630,Akshay Bhatia,4,0,0,1
23,0,34021,Bud Cauley,4,0,0,1
23,0,28089,Jason Day,4,0,0,1
23,0,34099,Harris English,4,1,2,0
23,0,54576,Patrick Fishburn,4,0,0,0
23,0,59018,Ryan Gerard,4,1,1,0
23,0,59095,Chris Gotterup,4,1,0,1
23,0,27644,Brian Harman,4,1,0,1
23,0,54421,Garrick Higgo,4,1,1,0
23,0,51287,Ryo Hisatsune,4,0,0,0
23,0,51696,Rico Hoey,4,0,0,0
23,0,35532,Tom Hoge,4,0,0,1
23,0,35506,Mackenzie Hughes,4,0,1,1
23,0,39975,Michael Kim,4,0,1,0
23,0,48117,Kurt Kitayama,4,1,0,0
23,0,47420,Jake Knapp,4,0,0,2
23,0,33204,Shane Lowry,4,0,2,0
23,0,50525,Collin Morikawa,4,0,2,0
23,0,40250,Taylor Pendrith,4,0,0,0
23,0,48081,Xander Schauffele,4,1,0,0
23,0,48867,Matti Schmid,4,0,1,0
23,0,34046,Jordan Spieth,4,0,0,0
23,0,57364,Michael Thorbjornsen,4,0,1,1
46,0,33948,Byeong Hun An,3,0,0,0
46,0,45522,Christiaan Bezuidenhout,3,0,0,0
46,0,47591,Eric Cole,3,0,0,0
46,0,34076,Joel Dahmen,3,0,1,0
46,0,47959,Bryson DeChambeau,3,0,1,0
46,0,51349,Nico Echavarria,3,0,1,0
46,0,32102,Rickie Fowler,3,0,0,0
46,0,51977,Max Greyserman,3,0,2,0
46,0,54628,Lee Hodges,3,0,0,0
46,0,52453,Nicolai Højgaard,3,0,1,0
46,0,46717,Viktor Hovland,3,1,0,1
46,0,36801,Mark Hubbard,3,0,0,1
46,0,39971,Sungjae Im,3,0,0,1
46,0,36799,Stephan Jaeger,3,0,0,1
46,0,47917,Takumi Kanaya,3,0,0,0
46,0,30926,Chris Kirk,3,0,1,0
46,0,66701,Jackson Koivun,3,0,0,0
46,0,36326,David Lipsky,3,0,0,2
46,0,39546,Keith Mitchell,3,0,1,0
46,0,63121,William Mouw,3,1,0,0
46,0,63343,Aldrich Potgieter,3,1,1,0
46,0,47983,Chad Ramey,3,0,0,0
46,0,47995,Davis Riley,3,0,1,0
46,0,39335,Kevin Roy,3,0,0,1
46,0,27139,David Skinns,3,0,0,0
46,0,46340,Alex Smalley,3,0,0,0
46,0,55893,Sam Stevens,3,0,2,1
46,0,60019,Jackson Suber,3,0,0,0
46,0,25493,Nick Taylor,3,1,0,0
46,0,38991,Alejandro Tosti,3,0,1,0
46,0,40006,Erik van Rooyen,3,0,2,0
46,0,51894,Vince Whaley,3,0,0,1
78,0,40026,Daniel Berger,2,0,1,1
78,0,55708,Hayden Buckley,2,0,0,0
78,0,46443,Brian Campbell,2,2,0,0
78,0,49590,Frankie Capan III,2,0,0,1
78,0,51766,Wyndham Clark,2,0,0,0
78,0,33653,Thomas Detry,2,1,0,0
78,0,57123,Steven Fisk,2,1,0,0
78,0,29936,Ryan Fox,2,2,0,0
78,0,56762,Will Gordon,2,0,0,0
78,0,35310,Lanto Griffin,2,0,0,1
78,0,31646,Emiliano Grillo,2,0,1,0
78,0,60067,Joe Highsmith,2,1,0,0
78,0,12716,Charley Hoffman,2,0,0,0
78,0,52686,Rasmus Højgaard,2,0,1,1
78,0,29420,Billy Horschel,2,0,0,0
78,0,34587,Chan Kim,2,0,0,0
78,0,37455,Si Woo Kim,2,0,0,0
78,0,37378,Min Woo Lee,2,1,0,0
78,0,27129,Luke List,2,0,0,0
78,0,40162,Justin Lower,2,0,0,1
78,0,47993,Denny McCarthy,2,0,0,0
78,0,59141,Matt McCarty,2,0,0,0
78,0,51950,Max McGreevy,2,0,0,0
78,0,55789,Taylor Montgomery,2,0,0,0
78,0,49947,Taylor Moore,2,0,0,0
78,0,27349,Alex Noren,2,0,0,1
78,0,33968,Thorbjørn Olesen,2,0,0,0
78,0,36824,Paul Peterson,2,0,1,0
78,0,34256,Andrew Putnam,2,0,0,0
78,0,46970,Jon Rahm,2,0,0,0
78,0,46414,Aaron Rai,2,0,0,0
78,0,56781,Isaiah Salinda,2,0,0,1
78,0,47347,Adam Schenk,2,0,0,0
78,0,27649,Brandt Snedeker,2,0,0,0
78,0,52666,Sami Valimaki,2,0,0,0
78,0,27064,Jhonattan Vegas,2,0,0,0
78,0,54304,Karl Vilips,2,1,0,0
78,0,54607,Danny Walker,2,0,0,1
78,0,48887,Matt Wallace,2,0,0,1
78,0,52513,Carson Young,2,0,0,0
78,0,45242,Kevin Yu,2,0,0,1
119,0,34255,Joseph Bramlett,1,0,0,1
119,0,59440,Ricky Castillo,1,0,0,0
119,0,52372,Cameron Champ,1,0,0,0
119,0,58933,Will Chandler,1,0,0,0
119,0,51151,Todd Clements,1,0,0,1
119,0,59836,Pierceson Coody,1,0,0,1
119,0,52514,Trace Crowe,1,0,0,0
119,0,45157,Cam Davis,1,0,0,0
119,0,51690,Taylor Dickson,1,0,0,0
119,0,59866,Nick Dunlap,1,0,0,0
119,0,56643,Manuel Elvira,1,0,0,1
119,0,29725,Tony Finau,1,0,0,0
119,0,55165,Noah Goodwin,1,0,0,0
119,0,33399,Adam Hadwin,1,0,0,0
119,0,47988,Nick Hardy,1,0,0,0
119,0,34363,Tyrrell Hatton,1,0,0,0
119,0,33597,Harry Higgs,1,0,1,0
119,0,39977,Max Homa,1,0,0,0
119,0,35461,Beau Hossler,1,0,0,0
119,0,24024,Zach Johnson,1,0,0,0
119,0,55182,Tom Kim,1,0,0,0
119,0,29478,Kevin Kisner,1,0,0,0
119,0,36884,Ben Kohles,1,0,0,0
119,0,37446,Jacques Kruyswijk,1,0,0,0
119,0,23108,Matt Kuchar,1,0,0,0
119,0,45523,Thriston Lawrence,1,0,0,0
119,0,32791,K.H. Lee,1,0,0,0
119,0,35296,Haotong Li,1,0,0,0
119,0,33199,Matteo Manassero,1,0,0,0
119,0,33413,Ben Martin,1,0,0,0
119,0,32839,Hideki Matsuyama,1,1,0,0
119,0,59143,Mac Meissner,1,0,1,0
119,0,52689,Rasmus Neergaard-Petersen,1,0,1,0
119,0,45486,Joaquin Niemann,1,0,0,0
119,0,35706,Niklas Norgaard,1,0,0,0
119,0,30163,Henrik Norlander,1,0,0,0
119,0,33667,Carlos Ortiz,1,0,0,0
119,0,50582,Jeremy Paul,1,0,1,0
119,0,51003,Marco Penge,1,0,1,0
119,0,47679,Victor Perez,1,0,0,0
119,0,57900,Chandler Phillips,1,0,0,0
119,0,49771,J.T. Poston,1,0,0,0
119,0,28252,Seamus Power,1,0,0,0
119,0,53165,Doc Redman,1,0,0,0
119,0,34360,Patrick Reed,1,0,0,1
119,0,36699,Patrick Rodgers,1,0,0,1
119,0,31569,Jason Scrivener,1,0,0,0
119,0,51890,Greyson Sigg,1,0,0,0
119,0,50484,Hayden Springer,1,0,0,0
119,0,57586,Jesper Svensson,1,0,0,0
119,0,58168,Davis Thompson,1,0,0,0
119,0,52144,Braden Thornberry,1,0,0,0
119,0,58132,Kieron van Wyk,1,0,0,0
119,0,58619,Kevin Velo,1,0,0,0
119,0,35658,Kris Ventura,1,0,0,0
119,0,27770,Camilo Villegas,1,0,0,0
119,0,32139,Danny Willett,1,0,0,0
119,0,31323,Gary Woodland,1,0,1,0
119,0,54783,Dylan Wu,1,0,0,0